pair_id,analysis_cluster,label,path
a11_000,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_1529183.flac
a11_001,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_7935311.flac
a11_002,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_5344211.flac
a11_003,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_2113190.flac
a11_004,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_8758886.flac
a11_005,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_8081889.flac
a11_006,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_1949642.flac
a11_007,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_3774196.flac
a11_008,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_5491233.flac
a11_009,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_6808678.flac
a11_010,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_6585884.flac
a11_011,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_9223167.flac
a11_012,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_5133679.flac
a11_013,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_3376297.flac
a11_014,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_2932205.flac
a11_015,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_7192576.flac
a11_016,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_5026432.flac
a11_017,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_7243479.flac
a11_018,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_1074147.flac
a11_019,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_2774082.flac
a11_020,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_1311878.flac
a11_021,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_8412287.flac
a11_022,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_9883712.flac
a11_023,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_3751267.flac
a11_024,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_9587883.flac
a11_025,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_7377873.flac
a11_026,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_1464800.flac
a11_027,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_8938513.flac
a11_028,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_1495493.flac
a11_029,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_7712216.flac
a11_030,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_3021132.flac
a11_031,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_4453860.flac
a11_032,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_5307079.flac
a11_033,asvspoof_a11,0,database/LA/ASVspoof2019_LA_eval/flac/LA_E_9131776.flac
